4,7.09
4,38.938
4,0.026
4,7.37
4,3457.036
4,464.3
2,26912.9
4,27074.3
8,45677.8
16,53601.5
16,20818.6
8,20425.2
4,16875.3
2,12324.5
2,12152.7
4,14300.2
8,17657.1
16,18271.3
16,1884332.9
8,1783520.1
4,2216259.6
2,2797943.7
4,461.3
2,26755.9
4,25877.1
8,44227.5
16,54559.6
16,18413.7
8,16137.2
4,14120
2,13604
2,13018.4
4,15095.4
8,18057.7
16,19141.1
2,1648976.1
4,965595.7
8,739017.8
16,694373.1
4,438.1
16,53649.4
8,29003.9
4,25255.6
2,39914.2
2,7821.7
4,15372.8
8,14286.4
16,16594.7
16,19727.8
8,15122.6
4,15493.5
2,8322
2,3660568.2
4,1204680.7
8,1027506.8
16,828522.3
